time,w1,w2,wb,acc
231,3.128759,-3.348298,1.034648,0.988000
232,3.128759,-3.348298,1.034648,0.988000
233,3.128759,-3.348298,1.034648,0.988000
234,3.128759,-3.348298,1.034648,0.988000
235,3.128759,-3.348298,1.034648,0.988000
236,3.128759,-3.348298,1.034648,0.988000
237,3.128759,-3.348298,1.034648,0.988000
238,3.128759,-3.348298,1.034648,0.988000
239,3.128759,-3.348298,1.034648,0.988000
240,3.128759,-3.348298,1.034648,0.988000
241,3.128759,-3.348298,1.034648,0.988000
242,3.128759,-3.348298,1.034648,0.988000
243,3.128759,-3.348298,1.034648,0.988000
244,3.128759,-3.348298,1.034648,0.988000
245,3.128759,-3.348298,1.034648,0.988000
246,3.128759,-3.348298,1.034648,0.988000
247,3.128759,-3.348298,1.034648,0.988000
248,3.128759,-3.348298,1.034648,0.988000
249,3.128759,-3.348298,1.034648,0.988000
250,3.128759,-3.348298,1.034648,0.988000
251,3.128759,-3.348298,1.034648,0.988000
252,3.128759,-3.348298,1.034648,0.988000
253,3.128759,-3.348298,1.034648,0.988000
254,3.128759,-3.348298,1.034648,0.988000
255,3.128759,-3.348298,1.034648,0.988000
256,3.128759,-3.348298,1.034648,0.988000
257,3.128759,-3.348298,1.034648,0.988000
258,3.128759,-3.348298,1.034648,0.988000
259,3.128759,-3.348298,1.034648,0.988000
260,3.128759,-3.348298,1.034648,0.988000
261,3.128759,-3.348298,1.034648,0.988000
262,3.128759,-3.348298,1.034648,0.988000
263,3.128759,-3.348298,1.034648,0.988000
264,3.128759,-3.348298,1.034648,0.988000
265,3.128759,-3.348298,1.034648,0.988000
266,3.128759,-3.348298,1.034648,0.988000
267,3.128759,-3.348298,1.034648,0.988000
268,3.128759,-3.348298,1.034648,0.988000
269,3.128759,-3.348298,1.034648,0.988000
270,3.128759,-3.348298,1.034648,0.988000
271,3.128759,-3.348298,1.034648,0.988000
272,3.128759,-3.348298,1.034648,0.988000
273,3.128759,-3.348298,1.034648,0.988000
274,3.128759,-3.348298,1.034648,0.988000
275,3.128759,-3.348298,1.034648,0.988000
276,3.128759,-3.348298,1.034648,0.988000
277,3.128759,-3.348298,1.034648,0.988000
278,3.128759,-3.348298,1.034648,0.988000
279,3.128759,-3.348298,1.034648,0.988000
280,3.128759,-3.348298,1.034648,0.988000
281,3.128759,-3.348298,1.034648,0.988000
282,3.128759,-3.348298,1.034648,0.988000
283,3.128759,-3.348298,1.034648,0.988000
284,3.128759,-3.348298,1.034648,0.988000
285,3.128759,-3.348298,1.034648,0.988000
286,3.128759,-3.348298,1.034648,0.988000
287,3.128759,-3.348298,1.034648,0.988000
288,3.128759,-3.348298,1.034648,0.988000
289,3.128759,-3.348298,1.034648,0.988000
290,3.128759,-3.348298,1.034648,0.988000
291,3.888759,-2.628298,1.054648,0.915000
292,3.888759,-2.628298,1.054648,0.915000
293,3.888759,-2.628298,1.054648,0.915000
294,3.888759,-2.628298,1.054648,0.915000
295,3.888759,-2.628298,1.054648,0.915000
296,2.848759,-4.128298,1.074648,0.921000
297,2.848759,-4.128298,1.074648,0.921000
298,2.848759,-4.128298,1.074648,0.921000
299,2.848759,-4.128298,1.074648,0.921000
300,3.228759,-3.788298,1.094648,0.962000
301,3.228759,-3.788298,1.094648,0.962000
302,3.228759,-3.788298,1.094648,0.962000
303,3.228759,-3.788298,1.094648,0.962000
304,3.228759,-3.788298,1.094648,0.962000
305,3.228759,-3.788298,1.094648,0.962000
306,3.228759,-3.788298,1.094648,0.962000
307,3.228759,-3.788298,1.094648,0.962000
308,3.228759,-3.788298,1.094648,0.962000
309,3.228759,-3.788298,1.094648,0.962000
310,3.228759,-3.788298,1.094648,0.962000
311,3.228759,-3.788298,1.094648,0.962000
312,3.228759,-3.788298,1.094648,0.962000
313,3.228759,-3.788298,1.094648,0.962000
314,3.228759,-3.788298,1.094648,0.962000
315,3.228759,-3.788298,1.094648,0.962000
316,3.228759,-3.788298,1.094648,0.962000
317,3.228759,-3.788298,1.094648,0.962000
318,3.228759,-3.788298,1.094648,0.962000
319,3.228759,-3.788298,1.094648,0.962000
320,3.228759,-3.788298,1.094648,0.962000
321,3.228759,-3.788298,1.094648,0.962000
322,3.228759,-3.788298,1.094648,0.962000
323,3.228759,-3.788298,1.094648,0.962000
324,3.228759,-3.788298,1.094648,0.962000
325,3.228759,-3.788298,1.094648,0.962000
326,4.008759,-3.068298,1.114648,0.939000
327,4.008759,-3.068298,1.114648,0.939000
328,4.008759,-3.068298,1.114648,0.939000
329,4.008759,-3.068298,1.114648,0.939000
330,4.008759,-3.068298,1.114648,0.939000
331,4.008759,-3.068298,1.114648,0.939000
332,4.008759,-3.068298,1.114648,0.939000
333,4.008759,-3.068298,1.114648,0.939000
334,4.008759,-3.068298,1.114648,0.939000
335,4.008759,-3.068298,1.114648,0.939000
336,4.008759,-3.068298,1.114648,0.939000
337,4.008759,-3.068298,1.114648,0.939000
338,4.008759,-3.068298,1.114648,0.939000
339,4.008759,-3.068298,1.114648,0.939000
340,4.008759,-3.068298,1.114648,0.939000
341,4.008759,-3.068298,1.114648,0.939000
342,4.008759,-3.068298,1.114648,0.939000
343,4.008759,-3.068298,1.114648,0.939000
344,4.008759,-3.068298,1.114648,0.939000
345,4.008759,-3.068298,1.114648,0.939000
346,4.008759,-3.068298,1.114648,0.939000
347,4.008759,-3.068298,1.114648,0.939000
348,4.008759,-3.068298,1.114648,0.939000
349,4.008759,-3.068298,1.114648,0.939000
350,4.008759,-3.068298,1.114648,0.939000
